,Year,Country,Gold,Silver,Bronze,Medal
332,2008.0,Kenya,6,4.0,4.0,14.0
333,2008.0,"Korea, North",2,1.0,3.0,6.0
334,2008.0,"Korea, South",41,11.0,26.0,78.0
335,2008.0,Latvia,1,1.0,1.0,3.0
336,2008.0,Mexico,2,0.0,2.0,4.0
337,2008.0,Mongolia,2,2.0,0.0,4.0
338,2008.0,Netherlands,40,18.0,4.0,62.0
339,2008.0,New Zealand,4,2.0,8.0,14.0
340,2008.0,Norway,16,5.0,1.0,22.0
341,2008.0,Panama,1,0.0,0.0,1.0
342,2008.0,Poland,6,13.0,1.0,20.0
343,2008.0,Portugal,1,1.0,0.0,2.0
344,2008.0,Romania,5,1.0,16.0,22.0
345,2008.0,Russia,43,44.0,56.0,143.0
346,2008.0,Slovakia,4,5.0,1.0,10.0
347,2008.0,Slovenia,1,2.0,2.0,5.0
348,2008.0,Spain,7,48.0,16.0,71.0
349,2008.0,Switzerland,3,0.0,8.0,11.0
350,2008.0,Thailand,2,2.0,0.0,4.0
351,2008.0,Tunisia,1,0.0,0.0,1.0
352,2008.0,Turkey,1,4.0,3.0,8.0
353,2008.0,Ukraine,10,5.0,16.0,31.0
354,2008.0,United Kingdom,31,25.0,21.0,77.0
355,2008.0,United States,125,109.0,81.0,315.0
356,2008.0,Uzbekistan,1,2.0,3.0,6.0
357,2008.0,Zimbabwe,1,3.0,0.0,4.0
0,2021.0,United States of America,39,41.0,33.0,113.0
1,2021.0,People's Republic of China,38,32.0,18.0,88.0
2,2021.0,Japan,27,14.0,17.0,58.0
3,2021.0,Great Britain,22,21.0,22.0,65.0
4,2021.0,ROC,20,28.0,23.0,71.0
5,2021.0,Australia,17,7.0,22.0,46.0
6,2021.0,Netherlands,10,12.0,14.0,36.0
7,2021.0,France,10,12.0,11.0,33.0
8,2021.0,Germany,10,11.0,16.0,37.0
9,2021.0,Italy,10,10.0,20.0,40.0
10,2021.0,Canada,7,6.0,11.0,24.0
11,2021.0,Brazil,7,6.0,8.0,21.0
12,2021.0,New Zealand,7,6.0,7.0,20.0
13,2021.0,Cuba,7,3.0,5.0,15.0
14,2021.0,Hungary,6,7.0,7.0,20.0
15,2021.0,Republic of Korea,6,4.0,10.0,20.0
16,2021.0,Poland,4,5.0,5.0,14.0
17,2021.0,Czech Republic,4,4.0,3.0,11.0
18,2021.0,Kenya,4,4.0,2.0,10.0
19,2021.0,Norway,4,2.0,2.0,8.0
20,2021.0,Jamaica,4,1.0,4.0,9.0
21,2021.0,Spain,3,8.0,6.0,17.0
22,2021.0,Sweden,3,6.0,0.0,9.0
23,2021.0,Switzerland,3,4.0,6.0,13.0
24,2021.0,Denmark,3,4.0,4.0,11.0
25,2021.0,Croatia,3,3.0,2.0,8.0
26,2021.0,Islamic Republic of Iran,3,2.0,2.0,7.0
27,2021.0,Serbia,3,1.0,5.0,9.0
28,2021.0,Belgium,3,1.0,3.0,7.0
29,2021.0,Bulgaria,3,1.0,2.0,6.0
30,2021.0,Slovenia,3,1.0,1.0,5.0
31,2021.0,Uzbekistan,3,0.0,2.0,5.0
32,2021.0,Georgia,2,5.0,1.0,8.0
33,2021.0,Chinese Taipei,2,4.0,6.0,12.0
34,2021.0,Turkey,2,2.0,9.0,13.0
35,2021.0,Greece,2,1.0,1.0,4.0
