No.,Athlete,Nation,Sport,Years,Games,Gender,Gold,Silver,Bronze,Total
44,Ireen Wüst,Netherlands,Speed skating,2006–2018,Winter,F,5.0,5.0,1.0,11.0
45,Takashi Ono,Japan,Gymnastics,1952–1964,Summer,M,5.0,4.0,4.0,13.0
46,Carl Osburn,United States,Shooting,1912–1924,Summer,M,5.0,4.0,2.0,11.0
47,"Gary Hall, Jr.",United States,Swimming,1996–2004,Summer,M,5.0,3.0,2.0,10.0
47,Ágnes Keleti,Hungary,Gymnastics,1952–1956,Summer,F,5.0,3.0,2.0,10.0
49,Nadia Comăneci,Romania,Gymnastics,1976–1980,Summer,F,5.0,3.0,1.0,9.0
49,Ian Thorpe,Australia,Swimming,2000–2004,Summer,M,5.0,3.0,1.0,9.0
51,Ville Ritola,Finland,Athletics,1924–1928,Summer,M,5.0,3.0,0.0,8.0
52,Emma McKeon,Australia,Swimming,2016–2020,Summer,F,5.0,2.0,4.0,11.0
53,Polina Astakhova,Soviet Union,Gymnastics,1956–1964,Summer,F,5.0,2.0,3.0,10.0
54,Claudia Pechstein,Germany,Speed skating,1992–2006,Winter,F,5.0,2.0,2.0,9.0
55,Elisabeta Lipă,Romania,Rowing,1984–2004,Summer,F,5.0,2.0,1.0,8.0
56,Yukio Endo,Japan,Gymnastics,1960–1968,Summer,M,5.0,2.0,0.0,7.0
56,Martin Fourcade,France,Biathlon,2014–2018,Winter,M,5.0,2.0,0.0,7.0
56,Aaron Peirsol,United States,Swimming,2000–2008,Summer,M,5.0,2.0,0.0,7.0
59,Mitsuo Tsukahara,Japan,Gymnastics,1968–1976,Summer,M,5.0,1.0,3.0,9.0
60,Nathan Adrian,United States,Swimming,2008–2016,Summer,M,5.0,1.0,2.0,8.0
60,Bradley Wiggins,Great Britain,Cycling,2000–2016,Summer,M,5.0,1.0,2.0,8.0
62,Krisztina Egerszegi,Hungary,Swimming,1988–1996,Summer,F,5.0,1.0,1.0,7.0
62,Tom Jager,United States,Swimming,1984–1992,Summer,M,5.0,1.0,1.0,7.0
62,Larisa Lazutina,Unified Team Russia,Cross-country skiing,1992–1998,Winter,F,5.0,1.0,1.0,7.0
62,Willis A. Lee,United States,Shooting,1920,Summer,M,5.0,1.0,1.0,7.0
62,Clas Thunberg,Finland,Speed skating,1924–1928,Winter,M,5.0,1.0,1.0,7.0
62,Dana Vollmer,United States,Swimming,2004–2016,Summer,F,5.0,1.0,1.0,7.0
62,Hans Günter Winkler,United Team of Germany West Germany,Equestrian,1956–1976,Summer,M,5.0,1.0,1.0,7.0
62,Wu Minxia,China,Diving,2004–2016,Summer,F,5.0,1.0,1.0,7.0
70,Thomas Alsgaard,Norway,Cross-country skiing,1994–2002,Winter,M,5.0,1.0,0.0,6.0
70,Anton Heida,United States,Gymnastics,1904,Summer,M,5.0,1.0,0.0,6.0
70,Laura Kenny,Great Britain,Cycling,2012–2020,Summer,F,5.0,1.0,0.0,6.0
70,Nellie Kim,Soviet Union,Gymnastics,1976–1980,Summer,F,5.0,1.0,0.0,6.0
70,Ole Lilloe-Olsen,Norway,Shooting,1920–1924,Summer,M,5.0,1.0,0.0,6.0
70,Don Schollander,United States,Swimming,1964–1968,Summer,M,5.0,1.0,0.0,6.0
70,Elaine Thompson-Herah,Jamaica,Athletics,2016–2020,Summer,F,5.0,1.0,0.0,6.0
77,Bonnie Blair,United States,Speed skating,1988–1994,Winter,F,5.0,0.0,1.0,6.0
77,Lisa Carrington,New Zealand,Canoeing,2012–2020,Summer,F,5.0,0.0,1.0,6.0
77,Georgeta Damian,Romania,Rowing,2000–2008,Summer,F,5.0,0.0,1.0,6.0
77,Missy Franklin,United States,Swimming,2012–2016,Summer,F,5.0,0.0,1.0,6.0
77,Alfred Lane,United States,Shooting,1912–1920,Summer,M,5.0,0.0,1.0,6.0
77,Steve Redgrave,Great Britain,Rowing,1984–2000,Summer,M,5.0,0.0,1.0,6.0
77,Johnny Weissmuller,United States,"Swimming, Water polo",1924–1928,Summer,M,5.0,0.0,1.0,6.0
77,Zou Kai,China,Gymnastics,2008–2012,Summer,M,5.0,0.0,1.0,6.0
85,Sue Bird,United States,Basketball,2004–2020,Summer,F,5.0,0.0,0.0,5.0
85,Chen Ruolin,China,Diving,2008–2016,Summer,F,5.0,0.0,0.0,5.0
85,Anastasia Davydova,Russia,Synchronized swimming,2004–2012,Summer,F,5.0,0.0,0.0,5.0
85,Morris Fisher,United States,Shooting,1920–1924,Summer,M,5.0,0.0,0.0,5.0
85,Eric Heiden,United States,Speed skating,1980,Winter,M,5.0,0.0,0.0,5.0
85,Natalia Ishchenko,Russia,Synchronized swimming,2008–2016,Summer,F,5.0,0.0,0.0,5.0
85,Ma Long,China,Table tennis,2012–2020,Summer,M,5.0,0.0,0.0,5.0
85,Diana Taurasi,United States,Basketball,2004–2020,Summer,F,5.0,0.0,0.0,5.0
93,Raisa Smetanina,Soviet Union Unified Team,Cross-country skiing,1976–1992,Winter,F,4.0,5.0,1.0,10.0
94,Alexander Popov,Unified Team Russia,Swimming,1992–2000,Summer,M,4.0,5.0,0.0,9.0
95,Dara Torres,United States,Swimming,1984–2008,Summer,F,4.0,4.0,4.0,12.0
96,Kornelia Ender,East Germany,Swimming,1972–1976,Summer,F,4.0,4.0,0.0,8.0
96,Dawn Fraser,Australia,Swimming,1956–1964,Summer,F,4.0,4.0,0.0,8.0
98,Allison Schmitt,United States,Swimming,2008–2020,Summer,F,4.0,3.0,3.0,10.0
99,Sixten Jernberg,Sweden,Cross-country skiing,1956–1964,Winter,M,4.0,3.0,2.0,9.0
99,Ludmilla Tourischeva,Soviet Union,Gymnastics,1968–1976,Summer,F,4.0,3.0,2.0,9.0
101,Ricco Groß,Germany,Biathlon,1992–2006,Winter,M,4.0,3.0,1.0,8.0
101,Georges Miez,Switzerland,Gymnastics,1924–1936,Summer,M,4.0,3.0,1.0,8.0
101,Otto Olsen,Norway,Shooting,1920–1924,Summer,M,4.0,3.0,1.0,8.0
101,Emil Hegle Svendsen,Norway,Biathlon,2010–2018,Winter,M,4.0,3.0,1.0,8.0
105,Ivan Patzaichin,Romania,Canoeing,1968–1984,Summer,M,4.0,3.0,0.0,7.0
106,Alexei Nemov,Russia,Gymnastics,1996–2000,Summer,M,4.0,2.0,6.0,12.0
107,Sven Kramer,Netherlands,Speed skating,2006–2018,Winter,M,4.0,2.0,3.0,9.0
108,Kjetil André Aamodt,Norway,Alpine skiing,1992–2006,Winter,M,4.0,2.0,2.0,8.0
108,Inge de Bruijn,Netherlands,Swimming,2000–2004,Summer,F,4.0,2.0,2.0,8.0
108,Sven Fischer,Germany,Biathlon,1994–2006,Winter,M,4.0,2.0,2.0,8.0
108,Galina Kulakova,Soviet Union,Cross-country skiing,1972–1980,Winter,F,4.0,2.0,2.0,8.0
108,Jason Lezak,United States,Swimming,2000–2012,Summer,M,4.0,2.0,2.0,8.0
108,Roland Matthes,East Germany,Swimming,1968–1976,Summer,M,4.0,2.0,2.0,8.0
114,Ivar Ballangrud,Norway,Speed skating,1928–1936,Winter,M,4.0,2.0,1.0,7.0
114,Einar Liberg,Norway,Shooting,1908–1924,Summer,M,4.0,2.0,1.0,7.0
116,Giuseppe Delfino,Italy,Fencing,1952–1964,Summer,M,4.0,2.0,0.0,6.0
116,Christian d'Oriola,France,Fencing,1948–1956,Summer,M,4.0,2.0,0.0,6.0
116,Lucien Gaudin,France,Fencing,1920–1928,Summer,M,4.0,2.0,0.0,6.0
116,Matt Grevers,United States,Swimming,2008–2012,Summer,M,4.0,2.0,0.0,6.0
116,Guo Jingjing,China,Diving,2000–2008,Summer,F,4.0,2.0,0.0,6.0
116,Jin Jong-oh,South Korea,Shooting,2004–2016,Summer,M,4.0,2.0,0.0,6.0
116,Olga Korbut,Soviet Union,Gymnastics,1972–1976,Summer,F,4.0,2.0,0.0,6.0
116,Janica Kostelić,Croatia,Alpine skiing,2002–2006,Winter,F,4.0,2.0,0.0,6.0
116,Kevin Kuske,Germany,Bobsleigh,2002–2018,Winter,M,4.0,2.0,0.0,6.0
125,Cate Campbell,Australia,Swimming,2008–2020,Summer,F,4.0,1.0,3.0,8.0
125,Giovanna Trillini,Italy,Fencing,1992–2008,Summer,F,4.0,1.0,3.0,8.0
127,Simone Biles,United States,Gymnastics,2016–2020,Summer,F,4.0,1.0,2.0,7.0
127,Charles Daniels,United States,Swimming,1904–1908,Summer,M,4.0,1.0,2.0,7.0
127,Kosuke Kitajima,Japan,Swimming,2004–2012,Summer,M,4.0,1.0,2.0,7.0
127,Lloyd Spooner,United States,Shooting,1920,Summer,M,4.0,1.0,2.0,7.0
127,Libby Trickett,Australia,Swimming,2004–2012,Summer,F,4.0,1.0,2.0,7.0
132,Darya Domracheva,Belarus,Biathlon,2010–2018,Winter,F,4.0,1.0,1.0,6.0
132,Doina Ignat,Romania,Rowing,1992–2008,Summer,F,4.0,1.0,1.0,6.0
132,Kim Soo-Nyung,South Korea,Archery,1988–2000,Summer,F,4.0,1.0,1.0,6.0
132,Ryan Murphy,United States,Swimming,2016-2020,Summer,M,4.0,1.0,1.0,6.0
132,Elena Novikova-Belova,Soviet Union,Fencing,1968–1980,Summer,F,4.0,1.0,1.0,6.0
132,Murray Rose,Australia,Swimming,1956–1960,Summer,M,4.0,1.0,1.0,6.0
132,Viktor Sidyak,Soviet Union,Fencing,1968–1980,Summer,M,4.0,1.0,1.0,6.0
132,Gunde Svan,Sweden,Cross-country skiing,1984–1988,Winter,M,4.0,1.0,1.0,6.0
132,Leontien van Moorsel,Netherlands,Cycling,2000–2004,Summer,F,4.0,1.0,1.0,6.0
132,Katrin Wagner-Augustin,Germany,Canoeing,2000–2012,Summer,F,4.0,1.0,1.0,6.0
132,Wang Meng,China,Short track speed skating,2006–2010,Winter,F,4.0,1.0,1.0,6.0
143,Ben Ainslie,Great Britain,Sailing,1996–2012,Summer,M,4.0,1.0,0.0,5.0
143,Vladimir Artemov,Soviet Union,Gymnastics,1988,Summer,M,4.0,1.0,0.0,5.0
143,Evelyn Ashford,United States,Athletics,1984–1992,Summer,F,4.0,1.0,0.0,5.0
143,Janet Evans,United States,Swimming,1988–1992,Summer,F,4.0,1.0,0.0,5.0
143,Ian Ferguson,New Zealand,Canoeing,1984–1988,Summer,M,4.0,1.0,0.0,5.0
143,Ramón Fonst,Cuba,Fencing,1900–1904,Summer,M,4.0,1.0,0.0,5.0
143,Fu Mingxia,China,Diving,1992–2000,Summer,F,4.0,1.0,0.0,5.0
143,Yevgeny Grishin,Soviet Union,Speed skating,1956–1964,Winter,M,4.0,1.0,0.0,5.0
143,Jayna Hefford,Canada,Ice hockey,1998–2014,Winter,F,4.0,1.0,0.0,5.0
143,Yana Klochkova,Ukraine,Swimming,2000–2004,Summer,F,4.0,1.0,0.0,5.0
143,Hannes Kolehmainen,Finland,Athletics,1912–1920,Summer,M,4.0,1.0,0.0,5.0
143,Johann Olav Koss,Norway,Speed skating,1992–1994,Winter,M,4.0,1.0,0.0,5.0
143,André Lange,Germany,Bobsleigh,2002–2010,Winter,M,4.0,1.0,0.0,5.0
143,Greg Louganis,United States,Diving,1976–1988,Summer,M,4.0,1.0,0.0,5.0
143,Valentin Muratov,Soviet Union,Gymnastics,1952–1956,Summer,M,4.0,1.0,0.0,5.0
143,John Naber,United States,Swimming,1976,Summer,M,4.0,1.0,0.0,5.0
143,Matti Nykänen,Finland,Ski jumping,1984–1988,Winter,M,4.0,1.0,0.0,5.0
143,Charles Pahud de Mortanges,Netherlands,Equestrian,1924–1936,Summer,M,4.0,1.0,0.0,5.0
143,Mel Sheppard,United States,Athletics,1908–1912,Summer,M,4.0,1.0,0.0,5.0
143,Ecaterina Szabo,Romania,Gymnastics,1984,Summer,F,4.0,1.0,0.0,5.0
143,Alexander Tikhonov,Soviet Union,Biathlon,1968–1980,Winter,M,4.0,1.0,0.0,5.0
143,Wang Nan,China,Table tennis,2000–2008,Summer,F,4.0,1.0,0.0,5.0
143,Hayley Wickenheiser,Canada,Ice hockey,1998–2014,Winter,F,4.0,1.0,0.0,5.0
143,Venus Williams,United States,Tennis,2000–2016,Summer,F,4.0,1.0,0.0,5.0
143,Emil Zátopek,Czechoslovakia,Athletics,1948–1952,Summer,M,4.0,1.0,0.0,5.0
143,Nikolay Zimyatov,Soviet Union,Cross-country skiing,1980–1984,Winter,M,4.0,1.0,0.0,5.0
169,Győző Kulcsár,Hungary,Fencing,1964–1976,Summer,M,4.0,0.0,2.0,6.0
170,Ludger Beerbaum,West Germany Germany,Equestrian,1988–2016,Summer,M,4.0,0.0,1.0,5.0
170,Kathrin Boron,Germany,Rowing,1992–2008,Summer,F,4.0,0.0,1.0,5.0
170,Chun Lee-Kyung,South Korea,Short track speed skating,1994–1998,Winter,F,4.0,0.0,1.0,5.0
170,Teresa Edwards,United States,Basketball,1984–2000,Summer,F,4.0,0.0,1.0,5.0
170,Natalie Geisenberger,Germany,Luge,2010–2018,Winter,F,4.0,0.0,1.0,5.0
170,Marcus Hurley,United States,Cycling,1904,Summer,M,4.0,0.0,1.0,5.0
170,Li Xiaopeng,China,Gymnastics,2000–2008,Summer,M,4.0,0.0,1.0,5.0
170,Jon Olsen,United States,Swimming,1992–1996,Summer,M,4.0,0.0,1.0,5.0
170,Stanislav Pozdnyakov,Unified Team Russia,Fencing,1992–2004,Summer,M,4.0,0.0,1.0,5.0
170,Sanya Richards-Ross,United States,Athletics,2004–2012,Summer,F,4.0,0.0,1.0,5.0
170,Viorica Susanu,Romania,Rowing,2000–2008,Summer,F,4.0,0.0,1.0,5.0
170,Giorgio Zampori,Italy,Gymnastics,1912–1924,Summer,M,4.0,0.0,1.0,5.0
182,Simon Ammann,Switzerland,Ski jumping,2002–2010,Winter,M,4.0,0.0,0.0,4.0
182,Tobias Arlt,Germany,Luge,2014–2018,Winter,M,4.0,0.0,0.0,4.0
182,Fanny Blankers-Koen,Netherlands,Athletics,1948,Summer,F,4.0,0.0,0.0,4.0
182,Tamika Catchings,United States,Basketball,2004–2016,Summer,F,4.0,0.0,0.0,4.0
182,Dario Cologna,Switzerland,Cross-country skiing,2010–2018,Winter,M,4.0,0.0,0.0,4.0
182,Betty Cuthbert,Australia,Athletics,1956–1964,Summer,F,4.0,0.0,0.0,4.0
182,Tamás Darnyi,Hungary,Swimming,1988–1992,Summer,M,4.0,0.0,0.0,4.0
182,Deng Yaping,China,Table tennis,1992–1996,Summer,F,4.0,0.0,0.0,4.0
182,Harrison Dillard,United States,Athletics,1948–1952,Summer,M,4.0,0.0,0.0,4.0
182,Paul Bert Elvstrøm,Denmark,Sailing,1948–1960,Summer,M,4.0,0.0,0.0,4.0
182,Anastasia Ermakova,Russia,Synchronized swimming,2004–2008,Summer,F,4.0,0.0,0.0,4.0
182,Mohamed Farah,Great Britain,Athletics,2012–2016,Summer,M,4.0,0.0,0.0,4.0
182,Sylvia Fowles,United States,Basketball,2008–2020,Summer,F,4.0,0.0,0.0,4.0
182,Jenő Fuchs,Hungary,Fencing,1908–1912,Summer,M,4.0,0.0,0.0,4.0
182,Kaori Icho,Japan,Wrestling,2004–2016,Summer,F,4.0,0.0,0.0,4.0
182,Michael Johnson,United States,Athletics,1992–2000,Summer,M,4.0,0.0,0.0,4.0
182,Robert Korzeniowski,Poland,Athletics,1996–2004,Summer,M,4.0,0.0,0.0,4.0
182,Alvin Kraenzlein,United States,Athletics,1900,Summer,M,4.0,0.0,0.0,4.0
182,Lenny Krayzelburg,United States,Swimming,2000–2004,Summer,M,4.0,0.0,0.0,4.0
182,Viktor Krovopuskov,Soviet Union,Fencing,1976–1980,Summer,M,4.0,0.0,0.0,4.0
182,Lisa Leslie,United States,Basketball,1996–2008,Summer,F,4.0,0.0,0.0,4.0
182,Pat McCormick,United States,Diving,1952–1956,Summer,F,4.0,0.0,0.0,4.0
182,Al Oerter,United States,Athletics,1956–1968,Summer,M,4.0,0.0,0.0,4.0
182,Caroline Ouellette,Canada,Ice hockey,2002–2014,Winter,F,4.0,0.0,0.0,4.0
182,Jesse Owens,United States,Athletics,1936,Summer,M,4.0,0.0,0.0,4.0
182,Carlo Pavesi,Italy,Fencing,1952–1960,Summer,M,4.0,0.0,0.0,4.0
182,Matthew Pinsent,Great Britain,Rowing,1992–2004,Summer,M,4.0,0.0,0.0,4.0
182,Paulo Radmilovic,Great Britain,"Water polo, Swimming",1908–1920,Summer,M,4.0,0.0,0.0,4.0
182,Henri Saint Cyr,Sweden,Equestrian,1952–1956,Summer,M,4.0,0.0,0.0,4.0
182,Vladimir Salnikov,Soviet Union,Swimming,1980–1988,Summer,M,4.0,0.0,0.0,4.0
182,Carl Schuhmann,Germany,"Gymnastics, Wrestling",1896,Summer,M,4.0,0.0,0.0,4.0
182,Shi Tingmao,China,Diving,2016-2020,Summer,F,4.0,0.0,0.0,4.0
182,Nicole Uphoff,West Germany Germany,Equestrian,1988–1992,Summer,F,4.0,0.0,0.0,4.0
182,Lasse Virén,Finland,Athletics,1972–1976,Summer,M,4.0,0.0,0.0,4.0
182,Thomas Wassberg,Sweden,Cross-country skiing,1980–1988,Winter,M,4.0,0.0,0.0,4.0
182,Tobias Wendl,Germany,Luge,2014–2018,Winter,M,4.0,0.0,0.0,4.0
182,Serena Williams,United States,Tennis,2000–2012,Summer,F,4.0,0.0,0.0,4.0
182,Bärbel Wöckel,East Germany,Athletics,1976–1980,Summer,F,4.0,0.0,0.0,4.0
182,Zhang Yining,China,Table tennis,2004–2008,Summer,F,4.0,0.0,0.0,4.0
